Comment,Designator,Footprint
100nF,"C2,C3,C1,C4,C5",C_0603_1608Metric
4k7,"R1,R5,R4,R2,R3",R_0603_1608Metric
74HCT139PW,"U5,U4",TSSOP-16_4.4x5mm_P0.65mm
SST39SF040,U1,TSOP-I-32_11.8x8mm_P0.5mm
10uF,C6,C_0805_2012Metric
74HCT574PW,"U2,U3",TSSOP-20_4.4x6.5mm_P0.65mm
