"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C2,C3,C1,C4,C5";"C_0603_1608Metric";5;"100nF";;;
2;"R1,R5,R4,R2,R3";"R_0603_1608Metric";5;"4k7";;;
3;"U5,U4";"TSSOP-16_4.4x5mm_P0.65mm";2;"74HCT139PW";;;
4;"U1";"TSOP-I-32_11.8x8mm_P0.5mm";1;"SST39SF040";;;
5;"C6";"C_0805_2012Metric";1;"10uF";;;
6;"U2,U3";"TSSOP-20_4.4x6.5mm_P0.65mm";2;"74HCT574PW";;;
